Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376436222113	65365	19021696	373434864	153.93
1376436223114	65365	19021696	373846128	157.77
1376436224114	65365	19021696	374205168	155.37
1376436225115	65365	19021696	374559856	153.57
1376436226115	65365	19021696	374877552	152.37
1376436227116	65365	19021696	375247472	149.15
1376436228117	65365	19021696	375621744	154.57
1376436229118	65365	19021696	376028656	153.93
1376436230119	65365	19021696	376433392	158.48
1376436231119	65365	19021696	376763800	157.99
1376436232119	65365	19021696	377147120	157.26
1376436233120	65365	19021696	377537552	157.35
1376436234120	65365	19021696	377901616	155.14
1376436235121	65365	19021696	378224240	154.56
1376436236121	65365	19021696	378578928	151.54
1376436237122	65365	19021696	378957552	152.91
1376436238122	65365	19021696	379334000	154.24
1376436239123	65365	19021696	379695216	154.46
1376436240123	65365	19021696	380062960	154.52
1376436241130	65365	19021696	380430704	153.76
1376436242131	65365	19021696	380761456	152.76
1376436243131	65365	19021696	381144432	152.81
1376436244131	65365	19021696	381501296	156.77
1376436245132	65365	19021696	381868944	157.18
1376436246133	65365	19021696	382221552	151.82
1376436247133	65365	19021696	382619760	154.59
1376436248134	65365	19021696	382974448	156.93
1376436249134	65365	19021696	383357424	157.17
1376436250143	65365	19021696	383696880	151.89
1376436251144	65365	19021696	384045040	153.09
1376436252144	65365	19021696	384416112	153.81
1376436253145	65365	19021696	384817520	155.04
1376436254146	65365	19021696	385174384	156.95
1376436255146	65365	19021696	385539952	154.61
1376436256147	65365	19021696	385885936	155.27
1376436257147	65365	19021696	386223216	155.99
1376436258148	65365	19021696	386604016	156.75
1376436259149	65365	19021696	386963056	151.24
1376436260150	65365	19021696	387328624	153.15
1376436261151	65365	19021696	387665904	149.99
1376436262152	65365	19021696	388044528	150.97
1376436263153	65365	19021696	388401392	154.60
1376436264153	65365	19021696	388780016	152.74
1376436265154	65365	19021696	389130352	151.38
1376436266155	65365	19021696	389500272	153.37
1376436267155	65365	19021696	389860376	156.24
1376436268155	65365	19021696	390198712	154.04
1376436269156	65365	19021696	390572424	152.94
1376436270156	65365	19021696	390960368	154.98
1376436271157	65365	19021696	391258480	148.61
1376436272158	65365	19021696	391647416	155.60
1376436273158	65365	19021696	392048368	155.13
1376436274159	65365	19021696	392407408	156.37
1376436275160	65365	19021696	392807792	156.94
1376436276160	65365	19021696	393121136	157.85
1376436277161	65365	19021696	393471472	154.67
1376436278161	65365	19021696	393843568	152.65
1376436279162	65365	19021696	394206960	152.78
1376436280163	65365	19021696	394583408	154.92
1376436281163	65365	19021696	394946800	155.76
1376436282164	65365	19021696	395255792	154.36
1376436283164	65365	19021696	395638768	155.90
1376436284174	65365	19021696	396002160	151.75
1376436285175	65365	19021696	396393840	154.35
1376436286176	65365	19021696	396744176	153.70
1376436287176	65365	19021696	397114096	156.45
1376436288177	65365	19021696	397457904	155.05
1376436289177	65365	19021696	397897456	158.84
1376436290178	65365	19021696	398243440	156.26
1376436291179	65365	19021696	398622064	157.91
1376436292179	65365	19021696	398952816	157.96
1376436293180	65365	19021696	399357552	161.34
1376436294185	65365	19021696	399742704	158.47
1376436295186	65365	19021696	400089520	159.25
1376436296186	65365	19021696	400408560	154.44
1376436297187	65365	19021696	400790376	157.66
1376436298190	65365	19021696	401172336	154.93
1376436299191	65365	19021696	401548208	155.32
1376436300192	65365	19021696	401890416	155.75
1376436301192	65365	19021696	402242928	157.98
1376436302193	65365	19021696	402606320	155.12
1376436303193	65365	19021696	402961008	155.60
1376436304194	65365	19021696	403311344	151.76
1376436305195	65365	19021696	403631216	148.10
1376436306196	65365	19021696	404046832	154.25
1376436307196	65365	19021696	404364528	155.58
1376436308197	65365	19021696	404780144	155.30
1376436309197	65365	19021696	405152240	156.37
1376436310198	65365	19021696	405491696	157.51
